,,,,,Total Summed Signal to Noise,,,,,,,,,,,,,,,,,,,
sp|P47963|RL13_MOUSE,Rpl13,RL13_MOUSE 60S ribosomal protein L13,9,8,3858.53,3500.84,5689.26,3203.18,5341.16,4781.29,5217.35,4871.06,1811.76,1951.69,2017.8,2099.43,1148.13,2078.6,1908.3,2245.58,2441.54,2763.29,1577.98,1709.4
sp|P48193|41_MOUSE,Epb41,41_MOUSE Protein 4.1,2,0,502.458,255.186,193.069,992.831,603.237,279.112,316.785,656.653,356.508,204.944,0,0,0,0,0,0,0,0,0,0
sp|P48678|LMNA_MOUSE,Lmna,LMNA_MOUSE Prelamin-A/C,3,10,645.621,2200.01,798.501,247.453,766.22,1117.74,549.182,759.672,1354.38,909.209,658.932,864.711,2903.6,775.261,959.558,579.037,659.946,840.329,3444.47,948.202
sp|P48776|T23O_MOUSE,Tdo2,"T23O_MOUSE Tryptophan 2,3-dioxygenase",1,0,326.109,245.692,279.534,409.022,265.949,265.367,193.642,270.884,227.945,230.377,0,0,0,0,0,0,0,0,0,0
sp|P50172|DHI1_MOUSE,Hsd11b1,DHI1_MOUSE Corticosteroid 11-beta-dehydrogenase isozyme 1,4,3,1528.86,1620.94,2069.41,798.772,1709.74,1328.87,2039.85,1838.75,1487.17,1998.31,176.26,235.64,174.466,321.56,172.279,222.563,246.306,291.811,227.233,344.049
sp|P50247|SAHH_MOUSE,Ahcy,SAHH_MOUSE Adenosylhomocysteinase,1,0,1243.96,863.145,981.314,663.935,1171.09,931.152,974.938,883.14,1271.21,1328.46,0,0,0,0,0,0,0,0,0,0
sp|P50285|FMO1_MOUSE,Fmo1,FMO1_MOUSE Dimethylaniline monooxygenase [N-oxide-forming] 1,3,0,566.112,477.787,610.959,709.466,629.762,650.677,469.589,488.678,654.528,649.576,0,0,0,0,0,0,0,0,0,0
sp|P50396|GDIA_MOUSE,Gdi1,GDIA_MOUSE Rab GDP dissociation inhibitor alpha,1,4,316.269,435.331,618.989,92.6797,482.17,511.212,498.606,561.048,893.913,359.213,514.039,1195.35,825.508,1624.16,1580.65,1401.77,1418.71,1834.9,1615.28,2597.74
sp|P50516|VATA_MOUSE,Atp6v1a,VATA_MOUSE V-type proton ATPase catalytic subunit A,1,0,243.059,416.55,256.023,173.497,213.919,237.739,202.997,229.161,245.843,260.2,0,0,0,0,0,0,0,0,0,0
sp|P51410|RL9_MOUSE,Rpl9,RL9_MOUSE 60S ribosomal protein L9,5,4,2371.68,2140.73,4278.9,1200.96,3689.11,2997.81,3857.51,3151.13,1154.32,1504,602.087,630.022,492.403,722.101,579.188,773.699,900.814,848.137,402.256,582.357
sp|P51660|DHB4_MOUSE,Hsd17b4,DHB4_MOUSE Peroxisomal multifunctional enzyme type 2,9,2,6169.17,2193.26,2662.37,2450.71,2128.36,17735.5,2581.46,2257.26,2200.68,2215.34,172.863,176.369,196.666,153.371,153.38,247.513,157.294,154.259,132.801,152.63
sp|P51863|VA0D1_MOUSE,Atp6v0d1,VA0D1_MOUSE V-type proton ATPase subunit d 1,0,1,0,0,0,0,0,0,0,0,0,0,78.2226,64.7985,78.5559,51.6006,60.6382,49.5415,50.3711,68.6986,55.2747,51.2029
sp|P51881|ADT2_MOUSE,Slc25a5,ADT2_MOUSE ADP/ATP translocase 2,4,4,1814.17,1807.45,1894.04,1101.23,1331.87,1407.37,1637.58,973.839,1293.78,1155.83,551.85,658.726,487.491,876.616,963.488,494.744,588.889,865.577,513.52,5607.04
sp|P52430|PON1_MOUSE,Pon1,PON1_MOUSE Serum paraoxonase/arylesterase 1,1,1,758.362,589.357,1085.99,311.438,765.459,593.579,834.175,752.334,731.14,921.788,72.3458,41.2674,33.0656,64.1721,73.9299,36.0363,77.3448,63.1759,57.975,63.0786
sp|P52479|UBP10_MOUSE,Usp10,UBP10_MOUSE Ubiquitin carboxyl-terminal hydrolase 10,9,0,3748.65,2038.18,1871.42,4559.79,2350.04,3336.16,2216.84,2741.5,1748.64,1846.05,0,0,0,0,0,0,0,0,0,0
sp|P52480|KPYM_MOUSE,Pkm,KPYM_MOUSE Pyruvate kinase PKM,4,4,673,2218.29,990.581,276.824,800.049,818.009,1401.24,1347.66,1612.82,2493.34,534.044,447.923,809.923,490.737,634.305,458.026,506.698,690.548,1126,1853.42
sp|P54775|PRS6B_MOUSE,Psmc4,PRS6B_MOUSE 26S protease regulatory subunit 6B,1,0,205.653,259.262,140.792,168.879,275.769,234.626,227.346,222.255,277.697,277.655,0,0,0,0,0,0,0,0,0,0
sp|P54823|DDX6_MOUSE,Ddx6,DDX6_MOUSE Probable ATP-dependent RNA helicase DDX6,1,0,114.512,60.3507,84.3117,98.0442,85.2621,106.38,59.245,96.472,63.3862,43.9424,0,0,0,0,0,0,0,0,0,0
sp|P55096|ABCD3_MOUSE,Abcd3,ABCD3_MOUSE ATP-binding cassette sub-family D member 3,19,12,8004.06,4333.74,3756.72,15909.5,3594.18,5062.14,3476.77,4737.52,2958.57,2566.95,2993.84,3522.02,1960.58,2214.72,3912.2,4362.83,2758.73,3581.73,755.238,1246.34
sp|P55302|AMRP_MOUSE,Lrpap1,AMRP_MOUSE Alpha-2-macroglobulin receptor-associated protein,1,0,333.529,477.795,628.446,123.233,648.692,438.556,533.237,385.584,378.837,320.441,0,0,0,0,0,0,0,0,0,0
sp|P56395|CYB5_MOUSE,Cyb5a,CYB5_MOUSE Cytochrome b5,1,0,139.247,78.4402,238.704,96.1915,140.918,94.5258,138.3,86.3645,158.154,138.425,0,0,0,0,0,0,0,0,0,0
sp|P56480|ATPB_MOUSE,Atp5b,"ATPB_MOUSE ATP synthase subunit beta, mitochondrial",5,8,1131.68,1867.57,2170.49,422.778,1087.03,1285.5,1826.78,1380.64,1198.01,1735.04,682.691,862.511,660.267,1048.85,1458.32,798.849,888.989,1496.14,2960.71,6329.75
sp|P56593|CP2AC_MOUSE,Cyp2a12,CP2AC_MOUSE Cytochrome P450 2A12,11,5,2976.7,2993.65,4989.17,1634.46,4911.42,3078.52,3985.02,3519.85,2659.66,3393.09,590.332,536.489,443.418,739.509,607.106,503.191,684.647,701.868,569.168,797.238
sp|P56654|CP237_MOUSE,Cyp2c37,CP237_MOUSE Cytochrome P450 2C37,10,5,5673.71,4217.74,5695.46,4748.89,4752.09,3062.59,3982.24,4384.93,4141.37,5590.68,1593.16,1802.86,1206.47,2605.83,1229.27,1514.27,1616.73,1866.29,765.732,1617.12
sp|P56657|CP240_MOUSE,Cyp2c40,CP240_MOUSE Cytochrome P450 2C40,2,0,1048.74,926.057,976.298,935.006,924.459,707.903,715.726,870.737,880.458,984.561,0,0,0,0,0,0,0,0,0,0
sp|P57780|ACTN4_MOUSE,Actn4,ACTN4_MOUSE Alpha-actinin-4,20,10,6362.03,7950.43,4533.12,8740.2,3734.2,3959.99,4428.77,5256.93,3534.6,4417.95,1582.25,1949.91,3239.52,1821.73,1564.2,2011.4,1525.95,1760.47,2107.62,1193.79
sp|P58252|EF2_MOUSE,Eef2,EF2_MOUSE Elongation factor 2,8,6,3743.42,6210.63,5534.74,2509.4,3775.21,3980.99,6153.47,5282.91,7340.52,5885.25,1011.3,1134.62,1132.04,1239.98,1409.32,1040,1286.81,1574.72,2846.07,8986.44
sp|P58771|TPM1_MOUSE,Tpm1,TPM1_MOUSE Tropomyosin alpha-1 chain,2,1,622.937,311.075,323.853,1256.63,346.451,463.761,199.169,350.721,475.21,197.092,149.526,135.53,250.083,144.628,106.53,194.139,110.05,131.526,31.8017,47.1165
sp|P59999|ARPC4_MOUSE,Arpc4,ARPC4_MOUSE Actin-related protein 2/3 complex subunit 4,6,3,1822.67,1614.78,1109.63,2694.31,1036.13,1201.05,961.639,1589.95,1071.04,1284.26,176.194,257.038,506.595,248.043,226.875,244.947,247.728,279.071,344.069,264.363
sp|P60335|PCBP1_MOUSE,Pcbp1,PCBP1_MOUSE Poly(rC)-binding protein 1,4,1,877.468,1209.59,959.499,1125.52,808.481,748.312,592.277,938.456,986.826,1002.7,113.244,100.035,48.9785,66.3744,119.408,73.02,104.28,91.8255,157.184,136.738
sp|P60710|ACTB_MOUSE,Actb,"ACTB_MOUSE Actin, cytoplasmic 1",22,22,13591,6616.86,4910.91,30185.8,4545.86,8243.42,4214.72,8082.67,3496.27,6006.62,6042.73,7448.5,10967.6,5975.71,5103.88,7911.17,6428.61,7125.54,4525.48,7563.18
sp|P60867|RS20_MOUSE,Rps20,RS20_MOUSE 40S ribosomal protein S20,4,3,1892.21,2031.92,2461.44,1817.92,2481.84,2295.98,2976.02,2520.51,1269.79,1150.85,596.997,631.41,613.855,695.984,744.796,766.87,800.34,883.291,442.09,6386.31
sp|P61161|ARP2_MOUSE,Actr2,ARP2_MOUSE Actin-related protein 2,1,0,277.773,159.286,134.792,505.636,96.1322,151.484,107.104,166.606,69.9486,70.7305,0,0,0,0,0,0,0,0,0,0
sp|P61205|ARF3_MOUSE,Arf3,ARF3_MOUSE ADP-ribosylation factor 3,0,1,0,0,0,0,0,0,0,0,0,0,95.4121,118.782,182.949,146.746,127.84,88.2412,77.3204,146.081,540.277,170.671
sp|P61255|RL26_MOUSE,Rpl26,RL26_MOUSE 60S ribosomal protein L26,3,2,1312.67,1721.94,2883.58,1001.56,2879.46,2718.89,2700.74,2219.54,885.118,682.872,345.87,305.816,190.084,303.926,319.921,310.566,352.461,387.456,417.832,387.88
sp|P61358|RL27_MOUSE,Rpl27,RL27_MOUSE 60S ribosomal protein L27,3,1,1481.47,1350.81,2894.58,1234.4,2683.25,2241.17,2311.62,2810.99,780.706,515.264,594.198,615.523,295.855,475.155,437.07,726.586,738.977,761.811,198.522,399.572
sp|P61514|RL37A_MOUSE,Rpl37a,RL37A_MOUSE 60S ribosomal protein L37a,2,0,379.969,466.069,537.999,318.555,634.565,623.946,581.549,527.917,411.935,335.378,0,0,0,0,0,0,0,0,0,0
sp|P61620|S61A1_MOUSE,Sec61a1,S61A1_MOUSE Protein transport protein Sec61 subunit alpha isoform 1,3,1,849.303,685.07,1122.99,502.976,704.75,641.311,963.416,739.035,758.798,1157.98,218.368,214.811,150.741,231.022,212.573,203.742,221.796,389.704,155.229,663.681
sp|P61979|HNRPK_MOUSE,Hnrnpk,HNRPK_MOUSE Heterogeneous nuclear ribonucleoprotein K,5,0,1254.38,1287.48,1447.83,985.622,1470.58,1545.89,1509.98,1302.32,1769.71,1195.79,0,0,0,0,0,0,0,0,0,0
sp|P62082|RS7_MOUSE,Rps7,RS7_MOUSE 40S ribosomal protein S7,3,2,1143.57,1134.67,2471.01,816.848,2004.49,1312.18,1596.43,1635.66,1018.25,1082.24,720.137,548.284,322.106,576.907,399.466,370.522,486.878,558.203,408.898,519.32
sp|P62192|PRS4_MOUSE,Psmc1,PRS4_MOUSE 26S protease regulatory subunit 4,1,3,102.528,128.042,71.2268,68.5958,76.3104,56.8955,105.166,113.984,108.027,317.021,154.315,283.582,213.536,307.881,640.082,316.217,359.904,544.616,549.69,1281.3
sp|P62204|CALM_MOUSE,Calm1,CALM_MOUSE Calmodulin,4,2,812.043,1293.98,781.054,897.313,582.91,754.729,685.137,736.762,600.483,562.206,153.574,190.158,317.313,190.586,196.482,206.148,151.837,187.765,232.193,547.652
sp|P62242|RS8_MOUSE,Rps8,RS8_MOUSE 40S ribosomal protein S8,8,4,4066.33,4259.62,5541.24,2481.42,5101.87,4233.8,5843.85,4576.27,1908.05,1811.7,1235.09,1261.84,727.659,1212.45,1310.68,1561.61,1588.66,1805.47,460.661,998.783
sp|P62245|RS15A_MOUSE,Rps15a,RS15A_MOUSE 40S ribosomal protein S15a,5,3,3955.04,4313.77,5394.22,2822.58,5116.98,5132.25,5387.46,4877.08,2563.91,2248.67,806.052,902.061,576.659,1108.68,1196.18,962.711,1317.24,1257.41,1003.43,6168.15
sp|P62264|RS14_MOUSE,Rps14,RS14_MOUSE 40S ribosomal protein S14,7,2,2657.48,2260.87,3129.28,2095.26,2868.87,2698.89,3230.39,2658.24,1107.01,1260.37,121.224,183.349,89.7665,166.638,193.001,177.46,218.068,251.388,131.598,655.732
sp|P62267|RS23_MOUSE,Rps23,RS23_MOUSE 40S ribosomal protein S23,7,5,7862.37,8036.28,10865.3,5228.57,9641.64,9032.65,9946.3,9351.63,4079.41,4043.43,1927.87,1441.81,900.493,1904.03,2032.58,1704.27,1687.64,2008.06,830.062,2269.19
sp|P62270|RS18_MOUSE,Rps18,RS18_MOUSE 40S ribosomal protein S18,10,8,5386.73,4515.51,8339.72,3927.51,6594.04,7430.75,5935.92,6351.13,3622.13,2411.62,1679.1,2424.16,923.921,1769.07,2247.52,2502.48,2654.59,2466.62,926.028,1249.26
sp|P62281|RS11_MOUSE,Rps11,RS11_MOUSE 40S ribosomal protein S11,9,4,5450.67,5823.44,9839.72,4021.78,6897.86,6582.23,7001.7,6380.64,3212.09,2920.94,598.387,680.774,442.022,616.613,602.024,722.595,685.633,867.042,283.184,815.914
sp|P62301|RS13_MOUSE,Rps13,RS13_MOUSE 40S ribosomal protein S13,6,2,2478.46,2124.47,4206.94,1512.09,3741.59,3890.12,3514.4,3508.92,1495.63,1090.63,283.603,268.344,271.811,271.541,215.76,309.736,221.308,204.814,66.6923,94.4321
sp|P62334|PRS10_MOUSE,Psmc6,PRS10_MOUSE 26S protease regulatory subunit 10B,1,0,142.519,143.322,188.013,62.8666,205.765,138.821,78.7282,157.1,135.165,130.244,0,0,0,0,0,0,0,0,0,0
sp|P62702|RS4X_MOUSE,Rps4x,"RS4X_MOUSE 40S ribosomal protein S4, X isoform",14,8,5817.89,4949,7419.04,4216.26,7478.28,7632.28,7766.19,6386.17,2782.74,2731.57,2132,2438.76,1400.16,2347.36,2246.06,3436.31,2935.59,3161.18,1155.72,1579.52
sp|P62717|RL18A_MOUSE,Rpl18a,RL18A_MOUSE 60S ribosomal protein L18a,7,1,2850.38,2690.04,4370.84,2894.73,4611.88,4490.71,4605.81,3275.48,1663.59,1606.47,33.3915,52.6836,48.7968,49.7468,61.1029,47.3645,53.9325,54.2019,39.3552,167.833
sp|P62737|ACTA_MOUSE,Acta2,"ACTA_MOUSE Actin, aortic smooth muscle",2,2,747.526,299.845,268.386,1253.32,331.79,354.672,256.428,296.054,191.926,150.119,791.096,702.206,1030.93,592.832,486.883,887.045,720.025,895.353,200.16,859.675
sp|P62743|AP2S1_MOUSE,Ap2s1,AP2S1_MOUSE AP-2 complex subunit sigma,4,2,874.152,334.807,408.49,1412.12,379.987,633.044,229.537,445.556,321.538,281.349,121.044,123.831,587.13,119.261,116.008,214.063,90.4925,99.1031,49.7553,220.163
sp|P62751|RL23A_MOUSE,Rpl23a,RL23A_MOUSE 60S ribosomal protein L23a,8,8,2638.63,3171.67,5113.49,1270.4,4983.1,4989.9,4177.02,4313.5,1963.69,1919.28,3545.82,2964.79,1635.59,2663.33,3139.82,3089.96,4092.89,4302.27,1446.89,2607.21
sp|P62754|RS6_MOUSE,Rps6,RS6_MOUSE 40S ribosomal protein S6,7,5,3211.47,3575.9,4744.43,2556.38,4560.41,3903.51,4436.09,4010.07,1528.12,1407.57,611.947,586.878,220.128,482.2,514.346,552.07,647.713,565.019,403.582,454.715
sp|P62806|H4_MOUSE,Hist1h4a,H4_MOUSE Histone H4,3,7,545.662,996.383,1295.56,193.198,756.276,962.896,668.515,947.59,1142.28,542.206,584.964,773.595,1152.2,941.708,1140.1,702.1,686.04,1140.28,1984.33,3107.59
sp|P62821|RAB1A_MOUSE,Rab1A,RAB1A_MOUSE Ras-related protein Rab-1A,5,3,1826.12,2688.51,2978.23,1193.96,2089.86,2258.92,2392.37,1872.91,1967.94,2129.49,251.772,228.508,385.888,354.446,293.682,245.195,316.098,356.001,618.648,1176.93
sp|P62827|RAN_MOUSE,Ran,RAN_MOUSE GTP-binding nuclear protein Ran,0,4,0,0,0,0,0,0,0,0,0,0,177.266,207.777,187.149,248.622,385.576,166.752,293.67,388.316,1733.22,5069.1
sp|P62830|RL23_MOUSE,Rpl23,RL23_MOUSE 60S ribosomal protein L23,5,3,2529.45,2281.93,3118.5,1790.69,2847.61,2572.98,2841.05,2397.8,1258.48,1189.38,407.987,619.37,348.1,535.608,498.822,560.945,971.642,703.874,417.32,662.753
sp|P62835|RAP1A_MOUSE,Rap1a,RAP1A_MOUSE Ras-related protein Rap-1A,1,0,422.036,678.564,490.525,324.241,483.899,597.611,906.619,551.66,695.84,761.646,0,0,0,0,0,0,0,0,0,0
sp|P62843|RS15_MOUSE,Rps15,RS15_MOUSE 40S ribosomal protein S15,2,1,664.721,788.356,1047.81,522.484,1095.38,1100.71,866.067,917.51,448.537,492.502,132.737,108.487,56.4282,100.973,133.837,146.531,154.848,190.856,54.7019,80.6692
sp|P62849|RS24_MOUSE,Rps24,RS24_MOUSE 40S ribosomal protein S24,4,1,1033.76,872.936,1670.05,951.906,1408.13,1215.5,1197.43,1480.42,798.155,948.589,183.486,179.753,96.5253,198.465,232.663,244.264,281.863,264.369,93.5987,165.028
sp|P62852|RS25_MOUSE,Rps25,RS25_MOUSE 40S ribosomal protein S25,5,5,3013.49,2930.75,4170.3,1811.17,3721.39,3471.61,3675.75,3485.4,1556.73,1417.46,1481.27,1586.81,959.866,1598.56,1483.09,1758.03,1688.25,1772.4,635.827,1016.92
sp|P62855|RS26_MOUSE,Rps26,RS26_MOUSE 40S ribosomal protein S26,3,2,1548.19,1607.59,2617.38,1058.46,2006.07,1778.04,2363.68,1761.17,733.191,897.214,706.863,691.028,369.378,612.519,797.651,802.665,827.152,915.584,349.579,1045.14
sp|P62858|RS28_MOUSE,Rps28,RS28_MOUSE 40S ribosomal protein S28,2,0,391.71,419.457,627.807,222.858,433.795,458.261,418.014,575.484,427.421,314.057,0,0,0,0,0,0,0,0,0,0
sp|P62862|RS30_MOUSE,Fau,RS30_MOUSE 40S ribosomal protein S30,1,1,447.355,391.783,518.45,248.155,726.975,466.114,556.14,530.124,283.292,138.764,278.57,259.997,107.166,313.44,240.808,260.238,278.721,243.392,135.162,236.376
sp|P62889|RL30_MOUSE,Rpl30,RL30_MOUSE 60S ribosomal protein L30,3,1,1835.94,689.525,864.431,4091.63,595.113,2169.42,704.827,968.893,477.686,506.314,457.375,360.49,370.882,251.067,229.865,320.001,306.844,229.455,182.955,108.229
sp|P62900|RL31_MOUSE,Rpl31,RL31_MOUSE 60S ribosomal protein L31,2,1,910.991,933.479,1793.78,922.006,2363.1,1299.58,1675.77,1520.8,788.717,554.514,268.395,276.463,146.63,305.114,256.993,283.147,300.576,418.164,125.727,901.396
sp|P62908|RS3_MOUSE,Rps3,RS3_MOUSE 40S ribosomal protein S3,15,8,10282.1,9272.77,13588.2,7524.76,12654.4,11372.5,13213.2,11213.9,5617.55,6287.54,2010.58,2189.94,1817.71,2424.39,2161.94,2510.13,2262.19,2681.8,1141.68,3069.89
sp|P62911|RL32_MOUSE,Rpl32,RL32_MOUSE 60S ribosomal protein L32,2,1,672.006,687.756,1153.53,415.357,1248.58,1065.27,1087,1055.09,409.647,457.976,215.69,217.142,97.4707,190.07,198.035,247.526,250.896,315.482,147.437,200.861
sp|P62918|RL8_MOUSE,Rpl8,RL8_MOUSE 60S ribosomal protein L8,10,4,3257.41,3667.62,4475.79,2704.92,4484.08,3960.77,4946.86,3981.87,1811.07,2224.9,1046.05,1051.57,761.308,1023.11,1097.44,1304.07,1118.06,1291.14,736.674,1433.29
sp|P62960|YBOX1_MOUSE,Ybx1,YBOX1_MOUSE Nuclease-sensitive element-binding protein 1,1,0,176.931,198.93,421.587,113.426,310.252,302.029,269.065,239.691,189.703,153.303,0,0,0,0,0,0,0,0,0,0
sp|P62983|RS27A_MOUSE,Rps27a,RS27A_MOUSE Ubiquitin-40S ribosomal protein S27a,15,9,5717.1,5670,6576.54,5495.49,5238.35,5261.68,6791.42,5440.42,5293.18,3628.55,1821.47,1706.39,2020.7,1536.5,1957.41,1864.08,1296.1,1689.98,2565.66,3659.52
sp|P63017|HSP7C_MOUSE,Hspa8,HSP7C_MOUSE Heat shock cognate 71 kDa protein,21,10,8850.62,6676.75,9253.38,12777.3,6587.97,7325.36,6627.87,8025.48,6657.54,9474.14,2120.9,2618.05,2442.74,2622.39,2612.15,2376.91,2204.67,2182.38,1918.61,1809.04
sp|P63038|CH60_MOUSE,Hspd1,"CH60_MOUSE 60 kDa heat shock protein, mitochondrial",1,1,92.9337,149.872,194.678,46.2132,106.618,78.9411,102.767,125.374,107.584,108.356,4.06297,14.7183,17.781,20.5705,32.586,20.618,9.14126,34.2425,28.8761,539.301
sp|P63101|1433Z_MOUSE,Ywhaz,1433Z_MOUSE 14-3-3 protein zeta/delta,1,3,118.261,419.595,93.1112,35.1239,83.6291,135.854,65.1042,66.7349,99.987,73.2548,298.212,259.307,521.332,262.797,307.537,277.155,253.259,297.393,772.775,411.019
sp|P63242|IF5A1_MOUSE,Eif5a,IF5A1_MOUSE Eukaryotic translation initiation factor 5A-1,1,0,222.59,541.404,334.976,244.783,316.666,211.035,199.74,231.531,226.085,195.614,0,0,0,0,0,0,0,0,0,0
sp|P63276|RS17_MOUSE,Rps17,RS17_MOUSE 40S ribosomal protein S17,2,0,805.749,735.071,897.018,462.985,974.638,862.288,1024.07,918.633,526.532,486.094,0,0,0,0,0,0,0,0,0,0
sp|P67778|PHB_MOUSE,Phb,PHB_MOUSE Prohibitin,1,2,308.462,341.888,336.519,335.392,268.596,312.27,201.946,281.084,241.073,266.715,97.3878,87.9372,88.0419,110.351,119.521,111.872,142.011,105.686,148.947,208.138
sp|P67984|RL22_MOUSE,Rpl22,RL22_MOUSE 60S ribosomal protein L22,1,1,277.885,641.884,513.442,124.326,444.51,411.197,367.679,291.423,200.73,305.005,39.9814,49.7961,47.1942,78.3058,68.4992,52.8453,64.584,54.3544,49.585,63.9564
sp|P68040|GBLP_MOUSE,Gnb2l1,GBLP_MOUSE Guanine nucleotide-binding protein subunit beta-2-like 1,7,7,2533.37,2361.05,3307.8,1083.22,2844.07,2547.24,2593.41,2564.17,2565.45,2837.13,954.478,986.936,817.07,1217.69,972.856,1024.1,1777.44,1029.1,1164.42,1717.49
sp|P68368|TBA4A_MOUSE,Tuba4a,TBA4A_MOUSE Tubulin alpha-4A chain,3,2,1341.45,2866.06,1088.76,2040.24,845.328,920.073,835.464,1072.52,1598.65,1195.94,175.264,208.327,238.444,222.235,209.419,189.34,157.307,215.869,292.859,607.394
sp|P68369|TBA1A_MOUSE,Tuba1a,TBA1A_MOUSE Tubulin alpha-1A chain,3,3,655.732,1532.64,623.432,643.218,543.242,564.877,494.78,930.226,1234.61,875.385,229.34,238.996,583.644,262.276,264.314,290.997,199.899,295.99,729.342,180.317
sp|P68372|TBB4B_MOUSE,Tubb4b,TBB4B_MOUSE Tubulin beta-4B chain,15,12,5993.51,11007.8,5151.92,6543.64,4655.11,5672.06,6334.19,5601.66,6471.15,5175.71,1814.26,1402.1,1471.74,1816.48,2769.56,1924.07,1989.32,3359.58,2827.47,8784.77
sp|P68510|1433F_MOUSE,Ywhah,1433F_MOUSE 14-3-3 protein eta,0,1,0,0,0,0,0,0,0,0,0,0,5.05209,83.763,45.548,70.8304,116.906,110.519,77.7794,139.944,73.4488,131.895
sp|P70124|SPB5_MOUSE,Serpinb5,SPB5_MOUSE Serpin B5,2,4,552.625,1578,823.954,187.335,650.34,640.091,668.896,837.696,676.662,1028.61,72.6135,155.552,1028.26,140.575,157.973,103.756,114.997,147.809,1037.53,169.466
sp|P70694|DHB5_MOUSE,Akr1c6,DHB5_MOUSE Estradiol 17 beta-dehydrogenase 5,1,0,199.309,162.794,278.641,183.897,234.261,234.228,214.145,235.844,243.787,232.806,0,0,0,0,0,0,0,0,0,0
sp|P80313|TCPH_MOUSE,Cct7,TCPH_MOUSE T-complex protein 1 subunit eta,1,0,305.927,362.289,560.203,105.137,204.144,399.291,548.475,392.069,333.289,391.881,0,0,0,0,0,0,0,0,0,0
sp|P80314|TCPB_MOUSE,Cct2,TCPB_MOUSE T-complex protein 1 subunit beta,2,0,1098.91,1551.06,1712,544.448,1523.27,1267.26,1110.95,1338.11,1467.73,1252.18,0,0,0,0,0,0,0,0,0,0
sp|P80316|TCPE_MOUSE,Cct5,TCPE_MOUSE T-complex protein 1 subunit epsilon,0,1,0,0,0,0,0,0,0,0,0,0,28.282,39.7432,28.8348,46.1894,57.3016,41.3645,44.4083,60.0443,59.2029,1105.31
sp|P83882|RL36A_MOUSE,Rpl36a,RL36A_MOUSE 60S ribosomal protein L36a,4,2,2584.02,2471.39,3253.58,2073.2,3167.88,2833.7,3383.5,2802.31,1077.4,1202.86,201.262,205.086,111.846,200.694,205.901,190.652,224.708,305.024,169.086,554.519
sp|P84091|AP2M1_MOUSE,Ap2m1,AP2M1_MOUSE AP-2 complex subunit mu,19,15,7791.87,1869.39,3034.08,16093.9,2976.7,3772.5,2099.01,2746.82,2667.71,1933.86,2628.24,3461.49,5261.53,3297.13,2460.38,4634.45,2675.78,1695.97,1754.97,1732.19
sp|P84099|RL19_MOUSE,Rpl19,RL19_MOUSE 60S ribosomal protein L19,9,3,3885.42,4702.56,5770.73,2654.4,5338.13,5237.28,6175.91,5139.88,2680.8,2538.48,856.638,865.648,449.197,897.913,783.407,886.074,1103.86,1233.92,515.197,861.608
sp|P84750|KVM5_MOUSE,,KVM5_MOUSE Ig kappa chain V region Mem5 (Fragment),0,1,0,0,0,0,0,0,0,0,0,0,80.4963,672.383,260.475,1202.94,611.298,112.115,78.3639,255.374,158.803,343.18
sp|P97350|PKP1_MOUSE,Pkp1,PKP1_MOUSE Plakophilin-1,0,1,0,0,0,0,0,0,0,0,0,0,271.385,255.888,238.001,135.245,316.473,250.872,178.784,276.538,728.88,198.94
sp|P97351|RS3A_MOUSE,Rps3a,RS3A_MOUSE 40S ribosomal protein S3a,10,5,7418.81,7990.91,12170.8,5121.07,12146.4,10829.9,10698,9564.68,5494.83,3914.12,1630.93,1851.64,1024.32,2295.13,1685.04,1755.17,1889.42,2073.04,852.032,1455.86
sp|P97379|G3BP2_MOUSE,G3bp2,G3BP2_MOUSE Ras GTPase-activating protein-binding protein 2,2,0,451.462,287.282,304.838,476.035,401.313,555.182,370.807,408.765,268.169,245.327,0,0,0,0,0,0,0,0,0,0
sp|P97461|RS5_MOUSE,Rps5,RS5_MOUSE 40S ribosomal protein S5,1,1,491.927,508.812,821.064,251.115,652.263,563.813,549.603,671.294,618.147,434.636,196.08,233.336,131.727,217.431,237.646,276.334,247.263,337.654,188.464,521.43
sp|P97742|CPT1A_MOUSE,Cpt1a,"CPT1A_MOUSE Carnitine O-palmitoyltransferase 1, liver isoform",1,1,161.038,193.862,166.217,96.0483,123.636,134.865,131.938,81.1693,108.942,141.685,82.0912,101.019,102.162,105.521,86.1865,116.987,123.211,119.219,146.368,98.1703
sp|P97855|G3BP1_MOUSE,G3bp1,G3BP1_MOUSE Ras GTPase-activating protein-binding protein 1,1,1,216.255,303.934,658.824,108.143,351.194,323.286,271.918,222.002,263.834,228.17,104.424,75.5074,34.7123,70.7016,97.1036,102.512,58.6312,88.6683,37.1248,61.1146
sp|P97872|FMO5_MOUSE,Fmo5,FMO5_MOUSE Dimethylaniline monooxygenase [N-oxide-forming] 5,15,5,6212.98,4120.89,7890.12,3467.78,5870.81,5023.98,8114.88,7017.27,4961.23,6680.11,785.277,734.283,554.383,1263.84,650.61,679.797,849.434,1032.35,487.866,1022.77
sp|P98078|DAB2_MOUSE,Dab2,DAB2_MOUSE Disabled homolog 2,19,8,5342.91,1601.57,2001.32,11239.7,2277.18,3063.04,1545.97,2685.43,1485,2301.23,610.878,845.841,1089.98,633.911,576.911,990.171,433.314,383.55,1339.92,295.042
